                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.2381,                0.61455,                 1.0711,                0.92511,                0.86669,                0.93288,                0.58461,                 1.3477,                0.59304,                 1.1664,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2234,                0.60634,                 1.0716,                0.92237,                0.87012,                0.93208,                0.58479,                  1.337,                0.59227,                 1.1634,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.2219,                0.60837,                 1.0695,                0.92094,                0.87047,                0.93572,                0.58922,                 1.3339,                0.58669,                 1.1627,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.2186,                 0.5469,                 1.0781,                0.92466,                 0.8633,                0.93105,                0.58686,                 1.3321,                0.59394,                  1.161,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.2086,                0.53747,                 1.0788,                0.93473,                0.85947,                0.92847,                0.57652,                  1.357,                0.59836,                 1.1697,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.2096,                0.54089,                 1.0754,                0.92736,                0.87025,                0.93221,                0.58587,                 1.3419,                0.58733,                 1.1615,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.2012,                0.53069,                 1.0729,                0.92484,                0.86691,                 0.9327,                0.57907,                 1.3583,                0.59775,                 1.1681,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1875,                0.52651,                 1.0635,                0.93792,                0.86172,                0.93062,                0.58922,                 1.3357,                0.59345,                 1.1592,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.1942,                0.52978,                  1.068,                0.92927,                0.86001,                 0.9312,                0.59075,                 1.3258,                0.59092,                 1.1598,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.1864,                0.52506,                 1.0604,                0.93287,                0.85777,                 0.9307,                0.58621,                 1.3401,                0.59284,                 1.1622,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                  1.183,                0.52507,                 1.0569,                0.92756,                0.86683,                0.93209,                0.59036,                 1.3307,                0.58622,                 1.1578,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.1788,                0.52049,                 1.0612,                0.92704,                0.86369,                0.93206,                0.58874,                 1.3319,                0.58569,                  1.158,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.1809,                0.52019,                 1.0623,                0.93197,                0.86258,                0.93166,                0.58974,                 1.3296,                0.58641,                 1.1575,             3.3173e-05,             3.3173e-05,             3.3173e-05
